"","mergedColors"
"LAMB3","yellow"
"SMUG1","green"
"FBXW4P1","brown"
"CUL2","brown"
"KCNQ2","green"
"SPHK1","red"
"SSH1","yellow"
"PCBP4","red"
"DESI1","blue"
"ENC1","grey"
"SS18","green"
"CPEB1","turquoise"
"AP2M1","yellow"
"RAB11FIP3","brown"
"GCNT1","turquoise"
"AKIRIN1","blue"
"TMEM251","brown"
"OLFM1","blue"
"CMC2","blue"
"MAGT1","yellow"
"FCGRT","green"
"CCPG1","brown"
"HN1L","greenyellow"
"PTPRS","green"
"SLIRP","red"
"ZNF654","grey"
"SGCA","green"
"SEMA6C","green"
"DES ","green"
"UBE2V2","yellow"
"LYL1","turquoise"
"C11orf71","brown"
"SLC7A6","red"
"YKT6","blue"
"LRRC59","blue"
"TNPO2","turquoise"
"LLGL2","turquoise"
"HCFC1R1","red"
"P2RX5 ","brown"
"VCL","blue"
"NLGN3","yellow"
"FPR2","blue"
"FOCAD","brown"
"ETFA","yellow"
"CLDN7","green"
"XAF1","grey"
"ATP6AP2","yellow"
"TAF1","brown"
"NDUFB5","brown"
"NTNG1","green"
"NUP37","brown"
"SPATA7","blue"
"ZNF507","green"
"KCTD14 ","red"
"BMX","blue"
"NPFFR1","green"
"NOS3","red"
"C1orf115","blue"
"KLHL26","turquoise"
"TUBB4A","green"
"MIR636 ","blue"
"LIFR","yellow"
"PPP1CC","brown"
"GNL3 ","red"
"CD1E","green"
"IDS","yellow"
"FAM136A ","turquoise"
"SLC25A1","pink"
"PPIE","black"
"BHMT","green"
"BAI1","green"
"EWSR1","red"
"METTL1","red"
"YAF2","green"
"ZNF23","yellow"
"RDH11","yellow"
"ARNT","turquoise"
"RBM22","yellow"
"OR7E37P","turquoise"
"IFT74","blue"
"SARS","turquoise"
"ST8SIA1","turquoise"
"ASH1L","brown"
"PDS5B","blue"
"TMEM208","turquoise"
"APOBEC3B","turquoise"
"TALDO1","turquoise"
"AP3B1","turquoise"
"QTRT1","brown"
"HSP90B1 ","purple"
"LSM7","red"
"LOC155060","black"
"KDM2A","brown"
"FAM193B","black"
"KLHDC10","yellow"
"RASA3","brown"
"RTN3","grey"
"SCAF8","yellow"
"KDM4A","yellow"
"MED20","greenyellow"
"ADAMTSL4","black"
"FJX1","red"
"RQCD1","red"
"DNASE1L1","turquoise"
"RPL10A","yellow"
"WBP5","blue"
"DGKQ","green"
"PMM1","blue"
"ZBED8","blue"
"ADNP2","yellow"
"CMPK1","yellow"
"PRH1 ","green"
"CHMP1A","green"
"CDS2","brown"
"KIAA0226","brown"
"PLAA","green"
"FLT3LG","black"
"HECA","brown"
"IK","blue"
"SPIN2A ","blue"
"PRPF6","purple"
"BBS1","blue"
"ALG5","brown"
"PIBF1","green"
"ICT1","yellow"
"SETD1A","green"
"MXD3","green"
"GPR25","green"
"YME1L1","yellow"
"TSPYL5","blue"
"GSTZ1","green"
"RWDD2A","blue"
"ZNF146","red"
"RNASEL","brown"
"FKBP8","yellow"
